  5.3595441e-003	  5.2174728e-003	  1.0000000e+000	  5.1213211e+001	 -2.4658775e+001	 -4.4242409e+001	  5.2087921e+001	  7.7577271e+001	 -9.7571960e+001	
  6.8424614e-003	  6.6162992e-003	  1.0000000e+000	  5.1213211e+001	 -2.4658775e+001	 -4.4242409e+001	  5.2087921e+001	  7.7577271e+001	 -9.7571960e+001	
  8.4240606e-003	  8.1952106e-003	  1.0000000e+000	  5.1190628e+001	 -2.4646910e+001	 -4.4259602e+001	  5.2282677e+001	  7.7571159e+001	 -9.7373161e+001	
  1.2636283e-002	  1.2414728e-002	  1.0000000e+000	  5.1185547e+001	 -2.4656746e+001	 -4.4262203e+001	  5.2254154e+001	  7.7587921e+001	 -9.7405083e+001	
  1.6856185e-002	  1.6627335e-002	  1.0000000e+000	  5.1199318e+001	 -2.4628540e+001	 -4.4260700e+001	  5.2280033e+001	  7.7551056e+001	 -9.7397804e+001	
  2.0868355e-002	  2.0639121e-002	  1.0000000e+000	  5.1199318e+001	 -2.4628540e+001	 -4.4260700e+001	  5.2280033e+001	  7.7551056e+001	 -9.7397804e+001	
  2.5074050e-002	  2.4845584e-002	  1.0000000e+000	  5.1188618e+001	 -2.4648943e+001	 -4.4261787e+001	  5.2290417e+001	  7.7551399e+001	 -9.7341896e+001	
  2.9244803e-002	  2.9015569e-002	  1.0000000e+000	  5.1202785e+001	 -2.4631647e+001	 -4.4251396e+001	  5.2192314e+001	  7.7545273e+001	 -9.7473206e+001	
  3.3407876e-002	  3.3178642e-002	  1.0000000e+000	  5.1186092e+001	 -2.4642763e+001	 -4.4254292e+001	  5.2160572e+001	  7.7554047e+001	 -9.7458290e+001	
  3.7665791e-002	  3.7439629e-002	  1.0000000e+000	  5.1215218e+001	 -2.4630919e+001	 -4.4233616e+001	  5.2052513e+001	  7.7526810e+001	 -9.7591415e+001	
  4.1690633e-002	  4.1462935e-002	  1.0000000e+000	  5.1201439e+001	 -2.4633621e+001	 -4.4248440e+001	  5.2111351e+001	  7.7535744e+001	 -9.7520897e+001	
  4.5854858e-002	  4.5654807e-002	  1.0000000e+000	  5.1200943e+001	 -2.4641424e+001	 -4.4247414e+001	  5.2039330e+001	  7.7557838e+001	 -9.7582367e+001	
  5.0119685e-002	  4.9893139e-002	  1.0000000e+000	  5.1192051e+001	 -2.4638308e+001	 -4.4257885e+001	  5.2143810e+001	  7.7557884e+001	 -9.7478043e+001	
  5.4291590e-002	  5.4062740e-002	  1.0000000e+000	  5.1192047e+001	 -2.4656385e+001	 -4.4247498e+001	  5.1987610e+001	  7.7586510e+001	 -9.7617294e+001	
  5.8460807e-002	  5.8231573e-002	  1.0000000e+000	  5.1175735e+001	 -2.4643204e+001	 -4.4267128e+001	  5.2250534e+001	  7.7586143e+001	 -9.7339439e+001	
  6.2653447e-002	  6.2427284e-002	  1.0000000e+000	  5.1197826e+001	 -2.4639484e+001	 -4.4243298e+001	  5.2114182e+001	  7.7548798e+001	 -9.7484657e+001	
  6.6834951e-002	  6.6606101e-002	  1.0000000e+000	  5.1203979e+001	 -2.4626362e+001	 -4.4245972e+001	  5.2153214e+001	  7.7547188e+001	 -9.7474640e+001	
  7.1027590e-002	  7.0798740e-002	  1.0000000e+000	  5.1195110e+001	 -2.4652191e+001	 -4.4232445e+001	  5.1988293e+001	  7.7552811e+001	 -9.7597839e+001	
  7.5032849e-002	  7.4803999e-002	  1.0000000e+000	  5.1189934e+001	 -2.4637375e+001	 -4.4257027e+001	  5.2140255e+001	  7.7573975e+001	 -9.7463951e+001	
  7.9207058e-002	  7.8977824e-002	  1.0000000e+000	  5.1192081e+001	 -2.4649979e+001	 -4.4239609e+001	  5.2042656e+001	  7.7561623e+001	 -9.7549294e+001	
  8.3390482e-002	  8.3161632e-002	  1.0000000e+000	  5.1191341e+001	 -2.4652199e+001	 -4.4243393e+001	  5.1978008e+001	  7.7564316e+001	 -9.7595901e+001	
  8.7555475e-002	  8.7326241e-002	  1.0000000e+000	  5.1202190e+001	 -2.4614100e+001	 -4.4247356e+001	  5.2096935e+001	  7.7523895e+001	 -9.7509018e+001	
  9.1747731e-002	  9.1518881e-002	  1.0000000e+000	  5.1193398e+001	 -2.4640806e+001	 -4.4243164e+001	  5.1988503e+001	  7.7536232e+001	 -9.7576164e+001	
  9.5910036e-002	  9.5680802e-002	  1.0000000e+000	  5.1187630e+001	 -2.4660212e+001	 -4.4236317e+001	  5.1887020e+001	  7.7555176e+001	 -9.7638161e+001	
  1.0007733e-001	  9.9847715e-002	  1.0000000e+000	  5.1197838e+001	 -2.4625957e+001	 -4.4246037e+001	  5.2067829e+001	  7.7527641e+001	 -9.7498878e+001	
  1.0430568e-001	  1.0407760e-001	  1.0000000e+000	  5.1199932e+001	 -2.4628344e+001	 -4.4241531e+001	  5.2084137e+001	  7.7508018e+001	 -9.7461098e+001	
  1.0851790e-001	  1.0829213e-001	  1.0000000e+000	  5.1223137e+001	 -2.4602362e+001	 -4.4230286e+001	  5.2050323e+001	  7.7463150e+001	 -9.7535667e+001	
  1.1252124e-001	  1.1229239e-001	  1.0000000e+000	  5.1225029e+001	 -2.4617559e+001	 -4.4222458e+001	  5.1984219e+001	  7.7473091e+001	 -9.7585663e+001	
  1.1668585e-001	  1.1645662e-001	  1.0000000e+000	  5.1222290e+001	 -2.4607252e+001	 -4.4232838e+001	  5.2136364e+001	  7.7468452e+001	 -9.7440857e+001	
